what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1552933504977
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1552933505026
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1552933505053
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1552933505068
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1552933505075
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1552933505076
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1552933505077
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1552933505077
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1552933505090
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1552933505115
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1552933505115
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.3.v201012020600,"org.eclipse.wst.common.emfworkbench.integration",1552933505116
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1552933505116
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1552933505118
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1552933505119
os,sysinfo,,,"win32",1552933505123
arch,sysinfo,,,"x86_64",1552933505123
ws,sysinfo,,,"win32",1552933505123
locale,sysinfo,,,"en_US",1552933505123
processors,sysinfo,,,"4",1552933505123
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1552933505123
java.runtime.version,sysinfo,,,"1.8.0-b132",1552933505123
java.specification.name,sysinfo,,,"Java Platform API Specification",1552933505123
java.specification.vendor,sysinfo,,,"Oracle Corporation",1552933505123
java.specification.version,sysinfo,,,"1.8",1552933505123
java.vendor,sysinfo,,,"Oracle Corporation",1552933505123
java.version,sysinfo,,,"1.8.0",1552933505123
java.vm.info,sysinfo,,,"mixed mode",1552933505123
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1552933505123
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1552933505123
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1552933505123
java.vm.specification.version,sysinfo,,,"1.8",1552933505123
java.vm.vendor,sysinfo,,,"Oracle Corporation",1552933505123
java.vm.version,sysinfo,,,"25.0-b70",1552933505123
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1552933505369
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1552933505464
started,bundle,org.eclipse.equinox.p2.engine,2.0.1.R36x_v20110201,"org.eclipse.equinox.p2.engine",1552933505614
started,bundle,org.eclipse.equinox.p2.metadata,2.0.1.R36x_v20101202,"org.eclipse.equinox.p2.metadata",1552933506318
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1552933506582
started,bundle,org.eclipse.equinox.p2.repository,2.0.2.R36x_v20110111-1500,"org.eclipse.equinox.p2.repository",1552933506724
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1552933506973
